content,name
鬼吹灯比盗墓笔记早出现，这是事实。其次，盗墓笔记中，三叔也说了，当时写盗墓笔记完全是写着玩的，没认真写,鬼吹灯之牧野诡事
之后因为读者觉得还不错，才继续写下去,鬼吹灯之牧野诡事
还有一点，就是盗墓笔记中的胖子与鬼吹灯中的胖子其实是同一个人,鬼吹灯之牧野诡事
盗墓笔记最初发表在百度贴吧,鬼吹灯之牧野诡事
而这个吧正是鬼吹灯吧。,鬼吹灯之牧野诡事
不懂这段历史的朋友可以去看看,鬼吹灯之牧野诡事
而且，当时三叔是天下霸唱的fans,鬼吹灯之牧野诡事
鬼吹灯当时火得不行，与藏地密码一同的,鬼吹灯之牧野诡事
盗墓笔记最初三叔是写来玩的，之前这个我也说过了。可是有人可能不知道，当时贴吧上的帖子中的三叔发的帖子是有胡八一与胖子的，其实他们是在七星鲁王墓中遇到的是这两位在鬼吹灯中的主角,鬼吹灯之牧野诡事
但是，为什么后来只剩胖子了？？,鬼吹灯之牧野诡事
因为之前盗墓笔记写火了，三叔想独立出来去起点干，为了不侵权，吧胡八一删掉了,鬼吹灯之牧野诡事
胖子这个角色因为太经典了，没删去，只是改了名字，人物性格完全是同一个人,鬼吹灯之牧野诡事
写得有点乱，但是这主要就是盗墓笔记的历史,鬼吹灯之牧野诡事
你们不信可以上网查证,鬼吹灯之牧野诡事
然后，主要部分来了,鬼吹灯之牧野诡事
为什么盗墓笔记火过鬼吹灯？？？,鬼吹灯之牧野诡事
鬼吹灯是探险小说,鬼吹灯之牧野诡事
鬼吹灯的道道比较多，感觉更加专业，但是也会让读者读起来有点困难,鬼吹灯之牧野诡事
而盗墓笔记是快餐,鬼吹灯之牧野诡事
鬼吹灯是有一定经历的人才写出来的,鬼吹灯之牧野诡事
首先我早列出霸唱叔叔的作品,鬼吹灯之牧野诡事
妈的，突然感觉被坑，同人烂玩意谁要啊,鬼吹灯之牧野诡事
《鬼吹灯1精绝古城》,鬼吹灯之牧野诡事
《鬼吹灯2龙岭迷窟》,鬼吹灯之牧野诡事
《鬼吹灯3云南虫谷》,鬼吹灯之牧野诡事
《鬼吹灯4昆仑神宫》,鬼吹灯之牧野诡事
《鬼吹灯5黄皮子坟》,鬼吹灯之牧野诡事
《鬼吹灯6南海归墟》,鬼吹灯之牧野诡事
《鬼吹灯7怒晴湘西》,鬼吹灯之牧野诡事
《鬼吹灯8巫峡棺山》,鬼吹灯之牧野诡事
注1：霸唱共写过八本,鬼吹灯之牧野诡事
系列，除此之外皆为同人作品，这都是起点霸唱产生纠纷的历史问题，详情请翻看老帖……,鬼吹灯之牧野诡事
鬼吹灯改编电视剧毁原作啊,鬼吹灯之牧野诡事
牧野诡事不算同人吧,鬼吹灯之牧野诡事
注2：关于《牧野诡事》，是,鬼吹灯之牧野诡事
