content,keyword,time
啊是不是有毒 5集就能讲完的故事 拖拖拖 能搞出个p来,云巅之上2,2017-06-24
又是一部为了陈晓而看的电视剧 怎么说呢 这部剧比《遇到爱情的利先生》要好一些 但也是大哥二哥 如果服装道具能提高一个档次就好了 惊讶的发现王泷正居然在这部剧里跑龙套！,云巅之上2,2018-01-16
太小言了，都是套路。袁姗姗的演技还可以。喜欢陈晓。,云巅之上2,2017-04-26
3.5星。结局有点尴尬了。画风变得太突然。对现在丧丧的我来说，需要一些这样的片子来刺激一下。20170402,云巅之上2,2017-04-02
“你是在帮我妈？”“我是担心你耽误拍摄进程！”,云巅之上2,2017-03-06
陈晓很帅。剧很脑残。,云巅之上2,2017-03-06
意外的不错啊，陈晓袁姗姗cp挺不错的，袁姗姗演的就是她自己吧……演技真的提高很多，挺棒的，剧情也不是像别的剧打着娱乐圈旗号谈恋爱的片子，女主确实靠着自己一路打拼慢慢成名，心中一直想着演戏，这很好！好喜欢海报的那两句话~~,云巅之上2,2017-03-21
广告植入得太“不露痕迹”了,云巅之上2,2017-03-05
于婊出品必属垃圾。,云巅之上2,2017-04-26
"哈哈，竟然被无聊的我看完了一季，虽然真不觉天才女主有啥天才演技。ps,陈晓还是不错的。",云巅之上2,2017-07-19
为什么要拍的这么劣质和廉价…,云巅之上2,2017-03-03
配音挺尴尬，画面还能接受,云巅之上2,2017-02-24
浮夸至极，袁珊珊倒是看得挺顺眼。,云巅之上2,2017-10-15
深度全靠吼，演技全靠解说。,云巅之上2,2017-03-11
优点是戏中戏拍的蛮认真,云巅之上2,2017-10-17
陈晓真帅 角色真圈粉 袁姗姗的角色人设台词尴尬的我想弃剧,云巅之上2,2017-02-23
配音挺尴尬，广告的植入也挺low的,云巅之上2,2017-10-08
不一样的偶像剧不一样的套路！妈呀这剧简直有毒！会员刚出来的时候就连夜刷完了全集，被唐斐苏哭了！感觉男主是全剧颜值的担当，对033的演技也是刮目相看了，皇后那段简直演技大爆发！等了这么久终于等来了月底的第二季简直太期待了！,云巅之上2,2017-03-16
出乎意料的一部，让我对陈晓，尤其是袁珊珊有的新的认识,云巅之上2,2017-04-03
都不知道是怎么看完，一群神经病…～～,云巅之上2,2017-04-07
还好，就是十六集之后要vip了 呵呵,云巅之上2,2017-03-20
