content,playCount,name
电影没有最好的，也没有最坏的，每个人看每部电影的感觉都不一样。国产的科幻电影起步晚，暂时没办法跟那些好莱乌的那些大片比较，就像你看着幼儿园的小朋友回答1+1=2一样，小孩子会觉得很聪明了，别以为你自己懂得5*5=25就认为别人笨！中国的科幻电影已经开了头，看以后的发展吧，我相信会越拍越好的！,25130000,时空送货人
垃圾中的战斗机，果断看不下去了。机器人制作太假，林正英大呼：还我僵尸！女演员一看都是被潜上位的，演技烂到没有观众，特效五毛是给高分了，剧情不说大家都知实在道这是抄袭的。而且严重的侮辱了原作，不是不支持国产，实在没有一个让人能够支持的立足点，有钱拍这烂片，还不如支援贫困地区呢！,25130000,时空送货人
我真的想不出用什么样的语言和文字去形容这种国产电影！我很想知道拍这种电影是对得起观众还是对得起自己？还是就是两字：圈钱！难不成大众的观影水平都已经下降到这种程度了还是现在这种“大片”已成主流？到底是垃圾导演造就了垃圾观众还是垃圾观众造就了垃圾导演！,25130000,时空送货人
国产电影！！！！！！！我真醉了哈！大家别说我不爱国啊！我很爱国！但是国产电影！我真的不想说什么了！包括这特效，这剧情！唉！期待已久的《战狼2》看了以后除了爱国情结挺好，吴京演得挺拼以外，没看点！总体缺乏真实感！说实在，你们看看国外电影，评分7.0以上的，真的能秒国产8.5以上的。,25130000,时空送货人
.........无语了，看一开头就一脸蒙逼。,25130000,时空送货人
我也是醉了，竟然看完了，当然是快进十五分钟看完。我只想说 我一直很喜欢看美国科幻电影，基本都被我看完了。不是我不支持国片，真的是垃圾中战斗机。一毛钱特效吧，演技 表情 太假了 ，同意的秒赞。,25130000,时空送货人
其实还行啊 全部是普通人 （全部是没有见过的）全新的感觉啊 蛮有意思的 不像那些拍了好多好多续集的大大大片，全部是见过的人，全部都是差不多的情节，除了越来越漂亮的特效，也没有什么了。。就像小时后看过的奥特曼一样明明拍了几十集，故事就一个打小怪兽。能看到这样的也还不错😊,25130000,时空送货人
没上映之前感觉应该还行，没想到还真没让我失望啊，看着心里那个激动啊，看到一半我终于坚持不住了，跑到了大马路上，大声说出了我的心声，这踏马拍的是啥玩意😥️😥️，接着就进了医院，不要问我为什么会进医院，大晚上的跑到大街上乱叫😓️ 要不是我聪明现在都在精神病医院🏥了,25130000,时空送货人
唉…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………！！！！！！！！！！！！！！！！！！,25130000,时空送货人
要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾要多垃圾有多垃圾,25130000,时空送货人
